,ynn,ynn_timeseries,red,sparsity,closest
0,0.6,1.0,30,30,286
1,0.8,1.0,27,27,280
2,0.6,1.0,26,26,286
3,0.6,1.0,18,18,286
4,1.0,1.0,22,22,286
5,1.0,1.0,35,35,286
6,1.0,1.0,91,91,283
7,0.8,1.0,22,22,286
8,0.3999999999999999,1.0,32,32,286
9,0.6,1.0,29,29,286
10,0.6,1.0,17,17,286
11,0.6,1.0,41,41,281
12,0.3999999999999999,1.0,14,14,286
13,0.3999999999999999,1.0,15,15,286
14,0.8,1.0,26,26,286
15,0.19999999999999996,1.0,38,38,286
16,0.6,1.0,107,107,286
17,0.6,1.0,41,41,279
18,0.6,1.0,14,14,285
19,1.0,1.0,55,55,286
20,0.8,1.0,133,133,286
21,0.8,1.0,191,191,286
22,0.8,1.0,204,204,286
23,0.6,1.0,210,210,286
24,1.0,1.0,284,284,286
25,1.0,1.0,189,189,286
26,1.0,1.0,286,286,286
27,0.8,1.0,218,218,286
28,0.6,1.0,286,286,286
29,0.6,1.0,188,188,286
30,0.8,1.0,240,240,286
31,0.6,1.0,179,179,286
32,0.6,1.0,286,286,286
33,0.6,1.0,286,286,286
34,0.8,1.0,183,183,286
35,0.6,1.0,152,152,286
36,0.3999999999999999,1.0,286,286,286
37,0.6,1.0,286,286,286
38,0.6,1.0,286,286,286
39,1.0,1.0,84,84,286
40,1.0,1.0,144,144,286
41,0.8,1.0,85,85,286
42,1.0,1.0,133,133,286
43,1.0,1.0,33,33,286
44,1.0,1.0,126,126,286
45,1.0,1.0,118,118,286
46,1.0,1.0,133,133,286
47,0.8,1.0,85,85,286
48,1.0,1.0,66,66,286
49,1.0,1.0,134,134,286
50,1.0,1.0,116,116,286
51,0.8,1.0,66,66,286
52,0.8,1.0,93,93,286
53,1.0,1.0,100,100,286
54,1.0,1.0,115,115,286
55,0.8,1.0,119,119,286
56,0.6,1.0,132,132,286
57,1.0,1.0,146,146,286
58,1.0,1.0,98,98,286
59,1.0,1.0,88,88,286
